date,mrp,smb,hml,rf,datenum
20110715,0.0058,0.0011,-0.0052,0,734699
20110718,-0.0094,-0.0059,-0.0037,0,734702
20110719,0.0172,0.0057,-0.0067,0,734703
20110720,-0.001,-0.003,0.0073,0,734704
20110721,0.0129,-0.0035,0.0106,0,734705
20110722,0.001,-0.001,-0.0074,0,734706
20110725,-0.0068,-0.0058,0.0009,0,734709
20110726,-0.0047,-0.0038,0.0015,0,734710
20110727,-0.0216,-0.0081,0.0043,0,734711
20110728,-0.0031,0.0015,-0.0012,0,734712
20110729,-0.0056,0.0023,0.0011,0,734713
20110801,-0.004,-0.0018,0.0021,0,734716
20110802,-0.0268,-0.0049,0.0015,0,734717
20110803,0.0058,0.0027,-0.0033,0,734718
20110804,-0.0504,-0.0083,0.0031,0,734719
20110805,-0.0036,-0.0123,-0.0046,0,734720
20110808,-0.0697,-0.0145,-0.0156,0,734723
20110809,0.0497,0.0093,0.0066,0,734724
20110810,-0.043,-0.0055,-0.0149,0,734725
20110811,0.0472,0.0032,0.0061,0,734726
20110812,0.0054,-0.0019,-0.0148,0,734727
20110815,0.0225,0.0044,0.0099,0,734730
20110816,-0.0107,-0.0079,-0.001,0,734731
20110817,-0.0001,-0.0033,0.0071,0,734732
20110818,-0.0465,-0.0102,0.0058,0,734733
20110819,-0.0155,0.0016,-0.0037,0,734734
20110822,-0.0003,0.0008,-0.0081,0,734737
20110823,0.036,0.0124,-0.008,0,734738
20110824,0.0135,-0.0015,0.0096,0,734739
20110825,-0.0167,-0.0099,0.0054,0,734740
20110826,0.0174,0.0091,-0.0106,0,734741
20110829,0.0311,0.0156,0.0082,0,734744
20110830,0.0032,0.0026,-0.0077,0,734745
20110831,0.0042,-0.0073,0.0026,0,734746
20110901,-0.0133,-0.011,-0.0077,0,734747
20110902,-0.0264,-0.0081,-0.0067,0,734748
20110906,-0.0071,0.005,-0.0064,0,734752
20110907,0.0306,0.0094,0.0092,0,734753
20110908,-0.0118,-0.0076,-0.0056,0,734754
20110909,-0.0265,-0.0017,0.0003,0,734755
20110912,0.0068,0.0001,0.0031,0,734758
20110913,0.0112,0.0076,-0.0041,0,734759
20110914,0.0145,0.0044,-0.004,0,734760
20110915,0.0164,-0.0055,0.0054,0,734761
20110916,0.0047,-0.0039,-0.0035,0,734762
20110919,-0.0099,-0.0053,-0.0123,0,734765
20110920,-0.0045,-0.0149,0.0024,0,734766
20110921,-0.0292,-0.0036,-0.0123,0,734767
20110922,-0.0329,0.0012,0.0046,0,734768
20110923,0.0074,0.0066,-0.0002,0,734769
20110926,0.0228,-0.0064,0.0124,0,734772
20110927,0.0122,0.0107,-0.0055,0,734773
20110928,-0.0229,-0.0165,-0.0018,0,734774
20110929,0.0077,0.0058,0.0204,0,734775
20110930,-0.025,-0.0016,-0.0008,0,734776
20111003,-0.0318,-0.0192,-0.0062,0,734779
20111004,0.0268,0.0361,0.0034,0,734780
20111005,0.0192,-0.002,-0.0045,0,734781
20111006,0.0194,0.0025,0.0051,0,734782
